CID,HA,Dipole,DonorType,SMILES,mlp_adsorption_energy,dft_adsorption_energy
116924787,16.0,1.108425501177233,amine_primary,CC1=CC2=C(C=C1)C=C(C=C2)CCC(C)N,-1.3448998034000397,
115022408,15.0,1.1084629801387145,amine_primary,C1CC=C(C1)C2=CC=CC=C2CCCN,-1.5567089319229126,
64430203,16.0,1.1104131843642708,amine_primary,C1CC(C1)C(C2=CC=CC3=CC=CC=C32)N,-1.2617546617984772,
81553599,20.0,1.1112556313018171,amine_primary,CC1CCCC(C1)C(C2=C(C=CC(=C2)F)C(F)(F)F)N,-0.9395784735679626,
79445165,14.0,1.113572454276326,amine_primary,CCC(C)C1(CCC(CC1)C(C)C)N,-1.149012804031372,
84053067,15.0,1.1136012056858595,amine_primary,C1CC2=C(C(=CC=C2)F)C3(C1CN)CC3,-1.0884741246700287,
62388002,16.0,1.114379539791538,amine_primary,CC1=CC(=CC=C1)CC(CC2CCCC2)N,-1.3525587618350983,
89240724,8.0,1.1147683227240537,amine_primary,C[C@H](CCCC=C)N,-0.894220620393753,
60922765,15.0,1.115342020152563,amine_primary,CCC(CC1=CC=CC=C1C)(C(C)C)N,-1.1351836323738098,
63411412,18.0,1.115928741052492,amine_primary,CCCCC(CC)CC1(CCC(CC1)C(C)C)N,-1.376553237438202,
65390977,19.0,1.120463527189529,amine_primary,CC1(CCC(CC1)(CC2=C(C=CC=C2Cl)F)CN)C,-0.9060774892568588,
107450101,14.0,1.1221537174366978,amine_primary,CCCCC1(CCCC(C1)C(C)C)N,-1.189750999212265,
62600681,19.0,1.1232982149834478,amine_primary,C1=CC(=C(C(=C1)Cl)CC(C2=CC(=C(C=C2)F)F)N)Cl,-0.8390563949942589,
20356317,10.0,1.125286662661119,amine_primary,CC1(C2CCC1(CC2)N)C,-1.1119072437286377,
82479200,18.0,1.127962787303287,amine_primary,CC(C)(CCC1=CC=C(C=C1)C2CCCCC2)N,-1.3791097700595856,
80038845,20.0,1.1282462018633168,amine_primary,C1=CC=C(C(=C1)C(C2=C(C=CC(=C2)C(F)(F)F)F)N)Cl,-0.9700562953948975,
28267641,11.0,1.1317148178414913,amine_primary,C[C@H](CN)C1=CC=CC=C1F,-1.0209054350852966,
66258414,20.0,1.132129438297141,amine_primary,CCC(C)(C)C1=CC=C(C=C1)C2=CC=CC=C2C(C)N,-1.097892016172409,
24688575,16.0,1.1336791615307216,amine_primary,CCC1=CC=C(C=C1)C(C2=CC=CC=C2)N,-1.1665203869342804,
83673867,15.0,1.1337401117226995,amine_primary,CC1=C(C=CC(=C1)C2(CC2)C3(CC3)N)F,-1.115035742521286,
105187975,20.0,1.1350894254361636,amine_primary,CCCC1=CC(=CC=C1)C(CCC2=CC=CC=C2C)N,-1.4486791491508484,
118046734,13.0,1.1355924126243535,amine_primary,C=C[C@H](C1=CC(=CC(=C1)CF)F)N,-0.894948273897171,
66259365,18.0,1.1361069334851364,amine_primary,CCC(C)(C)C1=CC=C(C=C1)C(CC(C)(C)C)N,-1.402612566947937,
105022569,20.0,1.1366194411165067,amine_primary,CCCCC1CCC(CC1)C(C2=C(C=C(C=C2)Cl)F)N,-1.0440838783979416,
66418405,19.0,1.1374836451466015,amine_primary,CC1=CC(=CC=C1)CC(CC2CC3=CC=CC=C23)N,-1.4164628386497498,
