query_name,query_cid,query_smiles,query_journal,rank,ref_cid,ref_smiles,ref_status,distance
oleylamine,5356789,CCCCCCCC/C=C\CCCCCCCCN,SCIENCE,2,14479696,CCCCCCCCC/C=C\CCCCCCCN,Success,0.000000
oleylamine,5356789,CCCCCCCC/C=C\CCCCCCCCN,SCIENCE,3,88519174,CCCCCC/C=C\CCCCCCCCCCN,Success,0.000000
oleylamine,5356789,CCCCCCCC/C=C\CCCCCCCCN,SCIENCE,4,14454801,CCCCCCCCCCC/C=C\CCCCCN,Success,0.000000
oleylamine,5356789,CCCCCCCC/C=C\CCCCCCCCN,SCIENCE,5,20088910,CCCCCC/C=C/CCCCCCCCCCN,Success,0.000076
oleylamine,5356789,CCCCCCCC/C=C\CCCCCCCCN,SCIENCE,6,20038081,CCCCCCC/C=C/CCCCCCCCCN,Success,0.000076
oleylamine,5356789,CCCCCCCC/C=C\CCCCCCCCN,SCIENCE,7,6258392,CCCCCCCC/C=C/CCCCCCCCN,Success,0.000076
oleylamine,5356789,CCCCCCCC/C=C\CCCCCCCCN,SCIENCE,8,14454800,CCCCCCCCCCC/C=C/CCCCCN,Success,0.000076
oleylamine,5356789,CCCCCCCC/C=C\CCCCCCCCN,SCIENCE,9,21508506,CCCCCCCCCCCCC/C=C/CCCN,Success,0.000076
oleylamine,5356789,CCCCCCCC/C=C\CCCCCCCCN,SCIENCE,10,118696052,CCCCCCCCCCCCCC/C=C/CCN,Success,0.000081
methanediamine,75408,C(N)N,SCIENCE,1,75408,C(N)N,Success,0.000000
methanediamine,75408,C(N)N,SCIENCE,2,160896315,C(C(N)N)(C(N)N)N,Success,0.001473
methanediamine,75408,C(N)N,SCIENCE,3,14324882,C(N)NCN,Success,0.001478
methanediamine,75408,C(N)N,SCIENCE,4,88813827,C(C(N)N)(C(N)N)C(N)N,Success,0.001564
methanediamine,75408,C(N)N,SCIENCE,5,19357261,C(C(N)N)OCC(N)N,Success,0.001633
methanediamine,75408,C(N)N,SCIENCE,6,87415418,C(C(C(N)N)C(N)N)(C(N)N)C(N)N,Success,0.001808
methanediamine,75408,C(N)N,SCIENCE,7,21885481,C(N)N(CN)CN,Success,0.001820
methanediamine,75408,C(N)N,SCIENCE,8,173547738,C(N)NC(N)N,Success,0.001897
methanediamine,75408,C(N)N,SCIENCE,9,88802470,C(C(N)N)C(C(N)N)(C(N)N)C(N)N,Success,0.001922
methanediamine,75408,C(N)N,SCIENCE,10,21051766,C(N)NP,Success,0.001968
2-Pyy,75919,C1=CC=NC(=C1)CCN,SCIENCE,1,75919,C1=CC=NC(=C1)CCN,Success,0.000000
2-Pyy,75919,C1=CC=NC(=C1)CCN,SCIENCE,2,129662444,C1=CC=NC(=C1)CC(CCN)(CC2=CC=CC=N2)N,Success,0.000531
2-Pyy,75919,C1=CC=NC(=C1)CCN,SCIENCE,3,139752208,C1=CC=NC(=C1)CC(CC2=CC=CC=N2)(CNCCN)N,Success,0.000730
2-Pyy,75919,C1=CC=NC(=C1)CCN,SCIENCE,4,65573761,C=CC(CC1=CC=CC=N1)N,Success,0.000776
2-Pyy,75919,C1=CC=NC(=C1)CCN,SCIENCE,5,122628406,C1=CC=NC(=C1)CC(C2=CC=CC=N2)NCC(CN)CN,Success,0.000789
2-Pyy,75919,C1=CC=NC(=C1)CCN,SCIENCE,6,69957817,CC(CC1=CC=CC=N1)(N)N,Success,0.000818
2-Pyy,75919,C1=CC=NC(=C1)CCN,SCIENCE,7,541877,CC(C1=CC=CC=N1)N,Success,0.000822
2-Pyy,75919,C1=CC=NC(=C1)CCN,SCIENCE,8,66589316,C1=CC=NC(=C1)CC(C2=CC=CC=N2)NCCN,Success,0.000839
2-Pyy,75919,C1=CC=NC(=C1)CCN,SCIENCE,9,96234454,C1=CC=NC(=C1)CN(CCN)CC2=CN=CC=C2,Success,0.000840
2-Pyy,75919,C1=CC=NC(=C1)CCN,SCIENCE,10,153947339,C1=CC=NC(=C1)CC(CN)NCC2=CC=CC=N2,Success,0.000845
2-(methylthio) ethylamine hydrochloride (METEAM),87697,CSCCN,NATURE PHOTONICS,1,87697,CSCCN,Success,0.000000
2-(methylthio) ethylamine hydrochloride (METEAM),87697,CSCCN,NATURE PHOTONICS,2,5247493,C(CSCCN)CSCCN,Success,0.000606
2-(methylthio) ethylamine hydrochloride (METEAM),87697,CSCCN,NATURE PHOTONICS,3,193295,C(CN)CSSCCCN,Success,0.000693
2-(methylthio) ethylamine hydrochloride (METEAM),87697,CSCCN,NATURE PHOTONICS,4,19366756,CSCCC(CS)N,Success,0.000753
2-(methylthio) ethylamine hydrochloride (METEAM),87697,CSCCN,NATURE PHOTONICS,5,22885599,CSCC[C@@H](CS)N,Success,0.000753
2-(methylthio) ethylamine hydrochloride (METEAM),87697,CSCCN,NATURE PHOTONICS,6,22885598,CSCC[C@H](CS)N,Success,0.000767
2-(methylthio) ethylamine hydrochloride (METEAM),87697,CSCCN,NATURE PHOTONICS,7,132064018,CPC(CN)SC,Success,0.000777
2-(methylthio) ethylamine hydrochloride (METEAM),87697,CSCCN,NATURE PHOTONICS,8,10058479,C(CNCCN)CSCCS,Success,0.000799
